DATE,YMD,MJD,Source,Centre Freq,Log freq,Ott Flux density,Focus,HA,ZA,sec Z,X(Z),Dry Atmos transmission,Tamb,Humidity,PWV est,5GHz Zenith Tau @ 1400m,absorption at ZA,Radiometer,TND lcp,TND rcp,Tsys lcp,dTsys lcp,Tsys rcp,dTsys rcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp
2013d008_00h26m50s,,56300.01,HYDRA A,4800,3.681,13.549,4.6191,0.96,13.76,1.03,1.029,0.9998,290.01,77.1,22.28,0.00844,1.00872,Dicke Switc,6.3,6,53.32,0.659,58.13,0.428,-0.674,-0.444,-1.166,1.016,1.195,,,0.679,0.414,1.111,1.022,1.145,5.914,0.443,-0.547,-0.424,-1.1,1.006,1.116,6.069,0.432,0.623,0.37,0.987,1.025,1.02,6.642,0.394
2013d011_23h05m01s,,56303.96,HYDRA A,4800,3.681,13.549,4.6191,-15.6,20.12,1.065,1.064,0.9996,290.28,79.04,23.23,0.00855,1.00914,Dicke Switc,6.3,6,54.04,0.998,59.58,0.473,-0.563,-0.524,-1.181,1,1.192,,,0.598,0.516,1.127,1.002,1.139,,,-0.549,-0.518,-1.097,1,1.107,,,0.552,0.428,1.02,1.006,1.036,,
2013d012_22h55m26s,,56304.95,HYDRA A,4800,3.681,13.549,4.6094,-17,21.11,1.072,1.071,0.9995,288.99,78.57,21.34,0.00833,1.00896,Dicke Switc,6.3,6,51.43,0.613,58.64,0.476,-0.594,-0.464,-1.095,1.006,1.111,6.096,0.43,0.625,0.458,1.071,1.009,1.09,6.216,0.421,-0.6,-0.459,-1.056,1.006,1.073,6.316,0.415,0.581,0.416,0.997,1.01,1.016,6.665,0.393
2013d014_00h54m12s,,56306.03,HYDRA A,4800,3.681,13.549,4.6289,13.73,18.87,1.057,1.056,0.9996,287.05,80.61,19.42,0.0081,1.00859,Dicke Switc,6.3,6,51.31,0.484,55.63,0.295,-0.621,-0.461,-1.1,1.008,1.118,6.06,0.432,0.625,0.42,1.054,1.014,1.079,6.28,0.417,-0.619,-0.491,-1.068,1.005,1.082,6.26,0.418,0.598,0.36,1.001,1.023,1.034,6.553,0.4
2013d015_22h50m12s,,56307.95,HYDRA A,4800,3.681,13.549,4.6191,-15.3,19.96,1.064,1.063,0.9996,291.48,82.55,26.1,0.00889,1.0095,Dicke Switc,6.3,6,54.28,0.827,61.89,0.532,-0.56,-0.534,-1.154,1,1.165,,,0.588,0.519,1.112,1.001,1.124,,,-0.55,-0.527,-1.117,1,1.128,,,0.547,0.458,1.018,1.003,1.031,,
2013d024_22h09m50s,,56316.92,HYDRA A,4800,3.681,13.549,4.6191,-16.6,20.84,1.07,1.069,0.9995,289.27,60.82,16.8,0.00779,1.00837,Dicke Switc,6.3,6,,0.642,57.48,0.652,-0.5,-0.531,-1.082,1,1.092,,,0.521,0.515,1.057,1,1.066,,,-0.51,-0.552,-1.096,1.001,1.106,6.125,0.428,0.516,0.482,1.011,1,1.019,6.645,0.394
2013d025_22h04m46s,,56317.92,HYDRA A,4800,3.681,13.549,4.6094,-16.9,21.03,1.071,1.071,0.9995,295.83,53.14,21.75,0.00838,1.00901,Dicke Switc,6.3,6,53.55,2.145,56.38,0.32,-0.566,-0.489,-1.131,1.002,1.143,5.925,0.442,0.615,0.488,1.106,1.005,1.121,6.042,0.433,-0.62,-0.499,-1.038,1.004,1.052,6.441,0.407,0.52,0.443,1.057,1.002,1.069,,
2013d026_22h01m46s,,56318.91,HYDRA A,4800,3.681,13.549,4.6094,-16.6,20.86,1.07,1.07,0.9995,293.98,68.96,25.31,0.0088,1.00945,Dicke Switc,6.3,6,53.44,0.507,59.7,0.473,-0.552,-0.543,-1.139,1,1.149,5.894,0.444,0.579,0.504,1.124,1.002,1.137,5.96,0.439,-0.557,-0.523,-1.029,1,1.039,6.52,0.402,0.537,0.444,1.01,1.003,1.023,6.623,0.395
2013d027_21h47m33s,,56319.9,HYDRA A,4800,3.681,13.549,4.6094,-19.2,22.75,1.084,1.084,0.9994,291.95,74.04,24.07,0.00865,1.00942,Dicke Switc,6.3,6,,,,,,,,,,,,bad data,,,,,,,,,,,,,,,,,,,,
2013d030_21h47m09s,,56322.9,HYDRA A,4800,3.681,13.549,4.6094,-16.3,20.67,1.069,1.068,0.9995,289.64,79.96,22.59,0.00848,1.00909,Dicke Switc,6.3,6,52.86,0.883,59.71,0.544,-0.577,-0.472,-1.133,1.004,1.147,5.906,0.443,0.618,0.481,1.095,1.00568,1.111,6.097,0.43,-0.578,-0.478,-1.042,1.003,1.055,6.419,0.408,0.572,0.412,0.998,1.01,1.017,6.662,0.393
2013d032_21h39m18s,,56324.9,HYDRA A,4800,3.681,13.549,4.6191,-16.3,20.67,1.069,1.068,0.9995,291.67,66.18,21.16,0.00831,1.00891,Dicke Switc,6.3,6,52.43,0.744,58.43,0.394,-0.554,-0.512,-1.123,1.001,1.134,5.975,0.438,0.578,0.506,1.095,1.001597,1.106,6.123,0.428,-0.546,-0.511,-1.068,1,1.078,6.284,0.417,0.543,0.461,0.999,1.002,1.011,6.703,0.391
2013d033_21h38m58s,,56325.9,HYDRA A,4800,3.681,13.549,4.6191,-15.4,20.04,1.064,1.064,0.9996,288.43,74.14,19.46,0.00811,1.00866,Dicke Switc,6.3,6,52.12,0.681,61.15,0.495,-0.501,-0.563,-1.128,1.001,1.139,5.948,0.44,0.531,0.546,1.098,1.00007,1.107,6.118,0.428,-0.506,-0.538,-1.085,1,1.095,6.187,0.423,0.5,0.524,1.031,1,1.04,6.512,0.402
2013d034_22h28m55s,,56326.93,HYDRA A,4800,3.681,13.549,4.6094,-1.98,13.86,1.03,1.029,0.9998,291.21,77.47,24.08,0.00865,1.00895,Dicke Switc,6.3,6,52.28,0.807,58.53,0.506,-0.607,-0.481,-1.127,1.005,1.142,5.93,0.442,0.63,0.453,1.094,1.009857,1.115,6.078,0.431,-0.614,-0.46,-1.083,1.008,1.101,6.153,0.426,0.579,0.41,1.005,1.011,1.025,6.61,0.396
2013d035_22h17m31s,,56327.93,HYDRA A,4800,3.681,13.549,4.6094,-3.85,14.2,1.032,1.031,0.9998,287.23,80.79,19.68,0.00813,1.00842,Dicke Switc,6.3,6,51.85,0.86,57.4,0.488,-0.555,-0.496,-1.126,1.001,1.137,5.959,0.44,0.58,0.477,1.084,1.003453,1.096,6.179,0.424,-0.53,-0.5,-1.064,1,1.073,6.315,0.415,0.555,0.391,0.967,1.011,0.986,,
2013d036_22h23m58s,,56328.93,HYDRA A,4800,3.681,13.549,4.6094,-1.25,13.78,1.03,1.029,0.9998,286.95,81.72,19.57,0.00812,1.00839,Dicke Switc,6.3,6,,,,,-0.566,-0.481,-1.095,1.002,1.107,,,0.597,0.447,1.044,1.008,1.061,,,-0.587,-0.47,-1.05,1.004,1.064,,,0.559,0.408,0.973,1.009,0.99,,
2013d038_21h17m31s,,56330.88,HYDRA A,4800,3.681,13.549,4.6094,-15.9,20.36,1.067,1.066,0.9995,289.91,76.91,22.1,0.00842,1.00901,Dicke Switc,6.3,6,52.7,0.625,60.74,0.525,-0.505,-0.568,-1.129,1.001,1.141,5.939,0.441,0.545,0.551,1.11,1,1.12,6.051,0.433,-0.514,-0.556,-1.059,1.001,1.069,6.339,0.413,0.475,0.493,1.01,1,1.02,6.644,0.394
2013d039_21h16m44s,,56331.88,HYDRA A,4800,3.681,13.549,4.6094,-15.1,19.81,1.063,1.062,0.9996,291.85,75.99,24.56,0.00871,1.00929,Dicke Switc,6.3,6,52.24,0.574,60.03,0.46,-0.609,-0.47,-1.117,1.006,1.134,5.975,0.438,0.627,0.453,1.091,1.01,1.111,6.096,0.43,-0.597,-0.464,-1.044,1.006,1.06,6.392,0.41,0.593,0.422,1.015,1.01,1.035,6.544,0.4
2013d040_21h13m53s,,56332.88,HYDRA A,4800,3.681,13.549,4.6094,-14.8,19.62,1.062,1.061,0.9996,291.11,75.8,23.43,0.00857,1.00914,Dicke Switc,6.3,6,52.7,0.469,60.35,1.08,-0.528,-0.547,-1.128,1,1.139,5.95,0.44,0.56,0.534,1.101,1,1.112,6.094,0.43,-0.539,-0.54,-1.076,1.062,1.153,,,0.522,0.469,1.003,1.001,1.013,6.688,0.392
2013d041_21h08m30s,,56333.88,HYDRA A,4800,3.681,13.549,4.6191,-15.2,19.87,1.063,1.063,0.9996,289.91,80.42,23.11,0.00854,1.00911,Dicke Switc,6.3,6,53.17,0.657,59.96,0.511,-0.564,-0.516,-1.131,1.001,1.142,5.933,0.441,0.589,0.493,1.103,1.003,1.116,6.07,0.432,-0.544,-0.508,-1.055,1,1.065,6.36,0.412,0.546,0.446,0.997,1.004,1.01,6.71,0.39
2013d043_21h00m55s,,56335.87,HYDRA A,4800,3.681,13.549,4.6191,-15.1,19.84,1.063,1.062,0.9996,289.08,81.63,22.29,0.00844,1.00901,Dicke Switc,6.3,6,52.43,0.697,60.17,0.511,-0.569,-0.486,-1.122,1.002,1.134,5.971,0.439,0.601,0.49,1.092,1.004,1.106,6.124,0.428,-0.551,-0.482,-1.042,1.002,1.053,6.433,0.407,0.569,0.423,1.003,1.008,1.02,6.644,0.394
2013d045_20h48m54s,,56337.86,HYDRA A,4800,3.681,13.549,4.6191,-16.2,20.54,1.068,1.067,0.9995,291.67,79.41,25.39,0.00881,1.00944,Dicke Switc,6.3,6,53.71,0.799,59.71,0.484,-0.55,-0.538,-1.164,1,1.175,5.767,0.454,0.581,0.534,1.126,1.001,1.137,5.958,0.44,-0.525,-0.542,-1.065,1,1.075,6.299,0.416,0.523,0.468,1.013,1.001,1.024,6.615,0.396
2013d046_21h38m37s,,56338.9,HYDRA A,4800,3.681,13.549,4.6191,-2.77,13.98,1.031,1.03,0.9998,291.95,78.2,25.42,0.00881,1.00911,Dicke Switc,6.3,6,,1.358,,1.081,,,,,,,,bd,,,,,,,,,,,,,,,,,,,,
2013d047_20h38m32s,,56339.86,HYDRA A,4800,3.681,13.549,4.6191,-16.8,20.98,1.071,1.07,0.9995,293.7,67.2,24.26,0.00867,1.00933,Dicke Switc,6.3,6,53.51,0.767,60.47,0.775,-0.546,-0.532,-1.145,1,1.156,5.859,0.447,0.577,0.519,1.109,1.001,1.12,6.048,0.433,-0.506,-0.49,-1.061,1,1.071,6.323,0.414,0.514,0.487,1,1,1.01,6.71,0.39
2013d048_21h54m59s,,56340.91,HYDRA A,4800,3.681,13.549,4.6191,3.3,14.08,1.031,1.03,0.9998,288.8,77.74,20.87,0.00827,1.00856,Dicke Switc,6.3,6,52.66,0.581,59.17,0.698,-0.553,-0.523,-1.156,1,1.166,5.808,0.451,0.569,0.5,1.102,1.002,1.113,6.086,0.43,-0.513,-0.53,-1.026,1,1.035,6.549,0.4,0.529,0.453,1.013,1.002,1.024,6.618,0.396
2013d049_20h35m07s,,56341.85,HYDRA A,4800,3.681,13.549,4.6094,-15.7,20.2,1.066,1.065,0.9995,289.45,81.81,22.86,0.00851,1.0091,Dicke Switc,6.3,6,51.74,0.859,59.91,0.501,-0.508,-0.538,-1.121,1,1.131,5.988,0.437,0.547,0.526,1.081,1,1.091,6.21,0.422,-0.515,-0.546,-1.091,1,1.101,6.153,0.426,0.515,0.484,0.999,1,1.008,6.719,0.39
2013d051_20h25m58s,,56343.85,HYDRA A,4800,3.681,13.549,4.6191,-16,20.43,1.067,1.066,0.9995,293.61,51.39,18.45,0.00799,1.00855,Dicke Switc,6.3,6,52.02,1.127,59.72,0.439,-0.537,-0.501,-1.103,1,1.113,6.086,0.43,0.573,0.485,1.077,1.003,1.089,6.22,0.421,-0.539,-0.51,-1.085,1,1.095,6.188,0.423,0.559,0.476,1.027,1.002,1.038,6.526,0.401
2013d053_20h23m22s,,56345.85,HYDRA A,4800,3.681,13.549,4.6191,-14.7,19.52,1.061,1.06,0.9996,288.34,38.9,10.15,0.00701,1.00746,Dicke Switc,6.3,6,52.27,0.727,59.61,0.703,-0.52,-0.554,-1.164,1,1.173,5.773,0.454,0.545,0.552,1.123,1,1.132,5.986,0.438,-0.504,-0.532,-1.047,1,1.055,6.42,0.408,0.467,0.463,1.008,1,1.016,6.67,0.393
2013d054_20h15m39s,,56346.84,HYDRA A,4800,3.681,13.549,4.6289,-15.6,20.17,1.065,1.065,0.9995,290.37,38.07,11.25,0.00714,1.00763,Dicke Switc,6.3,6,51.45,0.763,58.3,0.901,-0.523,-0.534,-1.129,1,1.137,5.957,0.44,0.555,0.525,1.099,1,1.108,6.113,0.428,-0.517,-0.544,-1.049,1,1.057,6.409,0.409,0.489,0.465,0.987,1,0.995,6.81,0.385
2013d056_21h23m42s,,56348.89,HYDRA A,4800,3.681,13.549,4.6094,3.34,14.09,1.031,1.03,0.9998,288.25,82.83,21.49,0.00835,1.00864,Dicke Switc,6.3,6,52.36,0.479,57.69,0.593,-0.56,-0.532,-1.151,1,1.161,5.834,0.449,0.584,0.497,1.092,1.002,1.104,6.138,0.427,-0.517,-0.529,-1.057,1,1.067,6.352,0.412,0.573,0.465,1.015,1.004,1.028,6.59,0.397
2013d060_21h31m47s,,56352.89,HYDRA A,4800,3.681,13.549,4.6289,9.32,16.3,1.042,1.041,0.9997,287.51,80.79,20.03,0.00817,1.00855,Dicke Switc,6.3,6,52.47,0.549,59.75,1.188,-0.579,-0.487,-1.176,1.003,1.189,5.698,0.46,0.573,0.453,1.068,1.005,1.082,6.261,0.418,-0.58,-0.492,-1.089,1.002,1.101,6.151,0.426,0.531,0.433,1.007,1.004,1.02,6.643,0.394
2013d065_20h12m52s, 2013-03-06,56357.8386, HYDRA A,4800,3.681,13.549,4.619141,-5.536543,14.690111,1.034,1.033,0.9998,291.3,67.85,21.211274,0.00831,1.00863,Dicke Switc,6.3,6,51.825123,0.588297,58.441998,0.9563,-0.564,-0.507,-1.131,1.001,1.141,5.935,0.441,0.573,0.486,1.097,1.002,1.109,6.108,0.429,-0.53,-0.481,-1.033,1.001,1.043,6.494,0.403,0.543,0.45,0.981,1.003,0.992,6.827,0.384
2013d066_20h10m57s,,56358.8373, HYDRA A,4800,3.681,13.549,4.619141,-5.030891,14.526441,1.033,1.032,0.9998,290.47,75.71,22.505105,0.00847,1.00878,Dicke Switc,6.3,6,52.613738,0.740642,58.066454,0.652193,-0.556,-0.522,-1.15,1,1.161,5.837,0.449,0.583,0.496,1.106,1.002,1.119,6.056,0.433,-0.521,-0.479,-1.101,1.001,1.111,6.098,0.43,0.54,0.421,1.005,1.006,1.02,6.644,0.394
2013d067_19h26m15s,,56359.8063, HYDRA A,4800,3.681,13.549,4.628906,-15.248333,19.871854,1.063,1.063,0.9996,290.28,77.28,22.715595,0.00849,1.00906,Dicke Switc,6.3,6,52.921084,0.911871,59.384748,0.52951,-0.489,-0.536,-1.131,1.001,1.142,5.933,0.441,0.526,0.525,1.105,1,1.115,6.078,0.431,-0.496,-0.516,-1.035,1,1.044,6.487,0.404,0.472,0.4620048173,0.983,1,0.992,6.831,0.383
2013d069_19h13m26s,,56361.7974, HYDRA A,4800,3.681,13.549,4.609375,-16.491252,20.733345,1.069,1.069,0.9995,288.62,78.94,20.957697,0.00828,1.00889,Dicke Switc,6.3,6,53.401803,1.056025,58.087622,0.642234,-0.509,-0.5368080346,-1.127,1,1.137,5.957,0.44,0.548,0.544,1.103,1,1.113,6.089,0.43,-0.467,-0.531,-1.027,1.001,1.037,6.531,0.401,0.509,0.494,1.02,1,1.029,6.584,0.398
2013d071_19h08m59s,,56363.79,HYDRA A,4800,3.681,13.549,4.6094,-15.6,20.13,1.065,1.064,0.9996,287.42,80.98,19.96,0.00817,1.00873,Dicke Switc,6.3,6,53.56,1.106,58.79,0.996,-0.507,-0.5363468823,-1.133,1,1.144,5.924,0.442,0.546,0.534,1.107,1,1.117,6.064,0.432,-0.505,-0.553,-1.051,1.001,1.061,6.387,0.41,0.496,0.488,1.008,1,1.017,6.661,0.393
2013d072_19h00m46s,,56364.79,HYDRA A,4800,3.681,13.549,4.6191,-16.7,20.89,1.07,1.07,0.9995,291.3,75.25,23.52,0.00859,1.00923,Dicke Switc,6.3,6,51.79,0.926,58.71,0.764,-0.555,-0.450874466,-1.115,1.004,1.129,,,0.567,0.456,1.056,1.004,1.071,,,-0.576,-0.478,-1.043,1.003,1.056,,,0.519,0.419,0.968,1.004,0.981,,
2013d075_18h49m12s,,56367.78,HYDRA A,4800,3.681,13.549,4.6094,-16.6,20.84,1.07,1.069,0.9995,289.36,74.41,20.67,0.00825,1.00886,Dicke Switc,6.3,6,51.88,0.768,56.82,0.338,-0.517,-0.5303627674,-1.112,1,1.122,6.039,0.434,0.555,0.523,1.085,1,1.095,6.186,0.423,-0.521,-0.513,-1.066,1,1.075,6.302,0.416,0.516,0.488,1.017,1,1.027,6.598,0.397
2013d080_20h01m41s, 2013-03-21,56372.83,HYDRA A,4800,3.681,13.549,4.6289,6.45,15.02,1.035,1.035,0.9998,294.07,57.58,21.25,0.00832,1.00864,Dicke Switc,6.3,6,52.16,0.701,58.42,0.467,-0.591,-0.4962347604,-1.146,1.003,1.16,5.842,0.448,0.599,0.46,1.085,1.006,1.101,6.152,0.426,-0.615,-0.49,-1.086,1.005,1.101,6.153,0.426,0.542,0.42,1.017,1.006,1.032,6.567,0.399
2013d081_18h29m27s, 2013-03-22,56373.77,HYDRA A,4800,3.681,13.549,4.6191,-15.6,20.17,1.065,1.065,0.9995,292.04,63.69,20.82,0.00827,1.00884,Dicke Switc,6.3,6,53.14,0.616,61.59,0.715,-0.521,-0.5867530268,-1.149,1.001,1.161,5.836,0.449,0.551,0.531,1.114,1,1.124,6.028,0.435,-0.512,-0.554,-1.081,1.001,1.091,6.209,0.422,0.517,0.472,1.02,1.001,1.03,6.576,0.398
2013d082_19h49m10s, 2013-03-23,56374.82,HYDRA A,4800,3.681,13.549,4.6191,5.28,14.61,1.033,1.033,0.9998,290.84,68.4,20.79,0.00826,1.00857,Dicke Switc,6.3,6,52.02,0.571,59.85,0.646,-0.607,-0.4796342666,-1.125,1.005,1.141,5.94,0.441,0.608,0.44,1.076,1.009,1.096,6.182,0.424,-0.65,-0.468,-1.09,1.01,1.11,6.104,0.429,0.56,0.411,0.987,1.009,1.003,6.751,0.388
2013d085_19h52m18s, 2013-03-26,56377.82,HYDRA A,4800,3.681,13.549,4.6191,9.02,16.15,1.041,1.04,0.9997,291.67,75.99,24.29,0.00868,1.00907,Dicke Switc,6.3,6,53.64,0.87,60.65,0.681,-0.57,-0.4927215567,-1.145,1.002,1.158,5.852,0.448,0.608,0.466,1.098,1.006,1.115,6.078,0.431,-0.56,-0.504,-1.086,1.001,1.097,6.176,0.424,0.558,0.406,1.02,1.009,1.038,6.525,0.401
2013d086_19h53m55s, 2013-03-27,56378.83,HYDRA A,4800,3.681,13.549,4.6191,10.41,16.88,1.045,1.044,0.9997,290.28,79.41,23.34,0.00856,1.00898,Dicke Switc,6.3,6,52.77,0.464,57.53,0.948,-0.571,-0.5127060419,-1.122,1.001,1.134,5.976,0.438,0.579,0.482,1.081,1.003,1.094,6.19,0.423,-0.625,-0.502,-1.034,1.004,1.047,6.467,0.405,0.492,0.39,0.942,1.005,0.955,,
2013d087_18h06m43s, 2013-03-28,56379.75,HYDRA A,4800,3.681,13.549,4.6191,-15.4,20.02,1.064,1.064,0.9996,289.82,73.95,21.13,0.0083,1.00887,Dicke Switc,6.3,6,52.98,0.498,56.89,0.921,-0.516,-0.5432621047,-1.133,1,1.144,5.924,0.442,0.549,0.525,1.11,1,1.12,6.048,0.433,-0.496,-0.496,-1.014,1,1.023,6.622,0.396,0.463,0.478,0.998,1,1.007,6.73,0.389
2013d088_18h00m13s, 2013-03-29,56380.75,HYDRA A,4800,3.681,13.549,4.6191,-16.1,20.47,1.067,1.067,0.9995,291.02,73.67,22.65,0.00848,1.00909,Dicke Switc,6.3,6,54.36,0.71,58.72,0.625,-0.539,-0.5639436145,-1.175,1,1.186,5.712,0.459,0.568,0.551,1.133,1,1.143,5.927,0.442,-0.521,-0.567,-1.11,1.001,1.12,6.047,0.433,0.51,0.471,1.011,1.001,1.021,6.638,0.395
2013d089_17h55m22s, 2013-03-30,56381.74,HYDRA A,4800,3.681,13.549,4.6094,-16.3,20.63,1.069,1.068,0.9995,294.72,56.29,21.58,0.00836,1.00896,Dicke Switc,6.3,6,51.92,0.581,57.8,0.282,-0.53,-0.509040057,-1.122,1,1.132,5.983,0.438,0.572,0.497,1.08,1.002,1.092,6.204,0.422,-0.528,-0.51,-1.061,1,1.071,6.325,0.414,0.538,0.456,1.006,1.002,1.018,6.656,0.394
2013d090_17h51m14s, 2013-03-31,56382.74,HYDRA A,4800,3.681,13.549,4.6094,-16.4,20.67,1.069,1.068,0.9995,290.097502,66.552733,19.34,0.00809,1.00868,Dicke Switc,6.3,6,53.23,0.597,59.92,0.48,-0.519,-0.5366064464,-1.13,1,1.14,5.943,0.441,0.548,0.525,1.095,1,1.105,6.131,0.427,-0.509,-0.551,-1.076,1.001,1.086,6.237,0.42,0.527,0.495,0.994,1,1.003,6.752,0.388
2013d091_17h55m13s, 2013-04-01,56383.74,HYDRA A,4800,3.681,13.549,4.6191,-14.4,19.31,1.06,1.059,0.9996,292.224484,64.610706,21.36,0.00833,1.00886,Dicke Switc,6.3,6,53.18,0.671,57.35,0.578,-0.531,-0.529583785,-1.14,1,1.15,5.89,0.445,0.569,0.522,1.106,1.001,1.117,6.066,0.432,-0.538,-0.506,-1.061,1,1.071,6.328,0.414,0.519,0.471,0.981,1.001,0.991,6.839,0.383
2013d094_18h25m35s, 2013-04-04,56386.76,HYDRA A,4800,3.681,13.549,4.5703,-3.84,14.2,1.032,1.031,0.9998,285.751059,74.690754,16.59,0.00777,1.00804,Dicke Switc,6.3,6,,0.558,55.49,0.313,-0.589,-0.4357215837,-1.088,1.008,1.106,,,0.6,0.428,1.05,1.01,1.07,,,-0.611,-0.446,-1.049,1.009,1.067,,,0.561,0.401,0.993,1.01,1.011,,
2013d095_17h32m10s, 2013-04-05,56387.73,HYDRA A,4800,3.681,13.549,4.6191,-16.2,20.56,1.068,1.067,0.9995,285.196194,63.223543,13.56,0.00741,1.00794,Dicke Switc,6.3,6,52.65,0.543,56.77,0.785,-0.54,-0.5259864652,-1.139,1,1.148,5.9,0.444,0.577,0.518,1.111,1.001,1.122,6.041,0.434,-0.516,-0.512,-1.092,1,1.101,6.154,0.426,0.524,0.458,0.998,1.002,1.007,6.727,0.389
2013d096_17h23m35s, 2013-04-06,56388.72,HYDRA A,4800,3.681,13.549,4.6289,-17.4,21.4,1.074,1.073,0.9995,287.600609,51.756332,12.9,0.00733,1.0079,Dicke Switc,6.3,6,50.98,0.532,56.21,0.878,-0.513,-0.5156904506,-1.102,1,1.111,6.098,0.43,0.536,0.508,1.074,1,1.083,6.257,0.419,-0.534,-0.508,-1.153,1,1.163,,,0.541,0.48,1.035,1.001,1.045,6.485,0.404
2013d097_17h09m47s, 2013-04-07,56389.71,HYDRA A,4800,3.681,13.549,4.6094,-19.8,23.23,1.088,1.088,0.9994,290.189979,41.213896,12.05,0.00723,1.0079,Dicke Switc,6.3,6,52.6,0.812,54.57,0.45,-0.526,-0.5465780133,-1.139,1,1.148,5.902,0.444,0.558,0.541,1.111,1,1.12,6.05,0.433,-0.499,-0.52,-1.029,1,1.038,6.53,0.401,0.526,0.482,1.008,1.001,1.017,6.664,0.393
2013d098_17h22m50s, 2013-04-08,56390.72,HYDRA A,4800,3.681,13.549,4.6289,-15.6,20.13,1.065,1.064,0.9996,290.374934,42.508581,12.57,0.00729,1.00779,Dicke Switc,6.3,6,51.69,0.902,56.97,0.442,-0.512,-0.5312172269,-1.117,1,1.126,6.018,0.435,0.539,0.533,1.092,1,1.101,6.154,0.426,-0.531,-0.511,-1.048,1,1.056,6.416,0.408,0.504,0.469,1.015,1,1.023,6.619,0.396
2013d101_19h13m54s, 2013-04-11,56393.8,HYDRA A,4800,3.681,13.549,4.6289,15.15,19.81,1.063,1.062,0.9996,286.583356,77.557557,18.15,0.00795,1.00848,Dicke Switc,6.3,6,52.67,0.95,,4.578,-0.575,-0.4996688673,-1.161,1.002,1.173,5.778,0.453,0.582,0.466,1.094,1.004,1.109,6.111,0.429,bd,,,,,,,bd,,,,,,
2013d103_16h55m37s, 2013-04-13,56395.7,HYDRA A,4800,3.681,13.549,4.5996,-17.5,21.47,1.075,1.074,0.9995,287.323176,78.57481,19.25,0.00808,1.00872,Dicke Switc,6.3,6,53.16,0.756,55.65,0.649,-0.525,-0.5226383831,-1.118,1,1.127,6.009,0.436,0.551,0.514,1.085,1,1.095,6.187,0.423,bd,,,,,,,bd,,,,,,
2013d104_17h02m45s, 2013-04-14,56396.71,HYDRA A,4800,3.681,13.549,4.6289,-14.7,19.54,1.061,1.06,0.9996,289.265204,58.322235,16.11,0.00771,1.00821,Dicke Switc,6.3,6,53.36,0.571,54.62,0.865,-0.572,-0.5357306956,-1.162,1,1.172,5.783,0.453,0.595,0.527,1.131,1.001,1.142,5.932,0.442,bd,,,,,,,bd,,,,,,
2013d105_16h55m48s, 2013-04-15,56397.7,HYDRA A,4800,3.681,13.549,4.6191,-15.5,20.05,1.065,1.064,0.9996,292.316962,55.178,18.34,0.00797,1.00852,Dicke Switc,6.3,6,53.5,0.642,53.84,0.781,-0.534,-0.5498543445,-1.153,1,1.163,5.826,0.45,0.569,0.534,1.115,1,1.125,6.024,0.435,bd,,,,,,,bd,,,,,,
2013d107_16h33m21s, 2013-04-17,56399.69,HYDRA A,4800,3.681,13.549,4.6289,-19.1,22.68,1.084,1.083,0.9994,293.241737,37.514796,13.18,0.00737,1.00801,Dicke Switc,6.3,6,52.04,0.476,53.77,1.312,-0.563,-0.496813793,-1.114,1.001,1.124,6.026,0.435,0.603,0.489,1.105,1.004,1.119,6.056,0.433,bd,,,,,,,bd,,,,,,
2013d108_16h47m52s, 2013-04-18,56400.7,HYDRA A,4800,3.681,13.549,4.6289,-14.5,19.4,1.06,1.06,0.9996,289.172727,63.131066,17.34,0.00786,1.00836,Dicke Switc,6.3,6,53.55,0.413,52.64,0.687,bd,-0.5490959444,-1.122,1,1.132,5.987,0.438,bd,0.53,1.092,1,1.101,6.151,0.426,bd,-0.585,-1.101,1.001,1.112,6.093,0.43,bd,0.473,1.097,1.008,1.115,,
2013d109_16h35m51s, 2013-04-19,56401.69,HYDRA A,4800,3.681,13.549,4.6094,-16.5,20.79,1.07,1.069,0.9995,286.583356,82.27391,19.25,0.00808,1.00868,Dicke Switc,6.3,6,54.91,0.577,60.64,1.402,bd,,,,,,,bd,,,,,,,bd,,,,,,,bd,,,,,,
2013d110_16h40m06s, 2013-04-20,56402.69,HYDRA A,4800,3.681,13.549,4.6191,-14.5,19.38,1.06,1.059,0.9996,282.976733,80.79427,15.05,0.00759,1.00807,Dicke Switc,6.3,6,52.69,0.543,54.03,2.954,-0.49,-0.5598957743,-1.122,1.002,1.133,5.981,0.438,0.517,0.556,1.086,1,1.095,6.187,0.423,bd,,,,,,,bd,,,,,,
2013d115_16h18m14s, 2013-04-25,56407.68,HYDRA A,4800,3.681,13.549,4.6094,-15,19.76,1.063,1.062,0.9996,289.450159,67.292554,18.8,0.00803,1.00856,Dicke Switc,6.3,6,52.43,0.512,55.27,0.918,-0.52,-0.5254504494,-1.118,1,1.128,6.007,0.436,0.551,0.522,1.082,1,1.092,6.205,0.422,bd,,,,,,,bd,,,,,,
